lec_exam,location,meeting_days,begin_time,end_time
EXAM,HIP 106,M,05:45PM,08:30PM
LEC,RNK 151,MWF,08:30AM,09:20AM
LAB,RNK 151,M,02:30PM,05:20PM
EXAM,RNK 151,R,08:30AM,11:00AM
LEC,RNK 152,TR,10:00AM,11:15AM
LAB,RNK 152,R,02:30PM,05:20PM
EXAM,RNK 152,T,08:30AM,11:00AM
LEC,RNK 152,MWF,10:30AM,11:20AM
LAB,RNK 152,W,02:30PM,05:20PM
EXAM,RNK 152,W,08:30AM,11:00AM
LEC,SHI COM,MWF,09:30AM,10:20AM
LAB,PYR 103,R,02:30PM,05:20PM
EXAM,SHI COM,M,08:30AM,11:00AM
LEC,PYR 118,TR,01:00PM,02:15PM
LAB,PYR 118,R,02:30PM,05:20PM
EXAM,PYR 118,T,12:00PM,02:30PM
LEC,PYR 108,TR,10:00AM,11:15AM
LAB,PYR 108,R,02:30PM,05:20PM
EXAM,PYR 108,T,08:30AM,11:00AM
LEC,PYR 108,MWF,09:30AM,10:20AM
LAB,PYR 108,W,02:30PM,05:20PM
EXAM,PYR 108,M,08:30AM,11:00AM
LEC,PYR 103,TR,11:30AM,12:45PM
LAB,PYR 118,T,02:30PM,05:20PM
EXAM,PYR 103,F,12:00PM,02:30PM
SEM,PYR 101,MF,11:30AM,12:20PM
EXAM,PYR 101,R,12:00PM,02:30PM
LEC,FUR 107,TR,08:30AM,09:45AM
EXAM,FUR 107,F,08:30AM,11:00AM
LEC,FUR 106,TR,01:00PM,02:15PM
EXAM,FUR 106,T,12:00PM,02:30PM
LEC,FUR 111,MWF,10:30AM,11:20AM
EXAM,FUR 111,W,08:30AM,11:00AM
LEC,FUR 109,W,02:30PM,05:00PM
EXAM,FUR 109,T,03:30PM,06:00PM
LEC,FUR 110,TR,11:30AM,12:45PM
EXAM,FUR 110,F,12:00PM,02:30PM
LEC,FUR 119,TR,10:00AM,11:15AM
EXAM,FUR 119,T,08:30AM,11:00AM
LEC,FUR 121,TR,08:30AM,09:45AM
EXAM,FUR 121,F,08:30AM,11:00AM
LEC,FUR 119,TR,11:30AM,12:45PM
EXAM,FUR 119,F,12:00PM,02:30PM
LEC,FUR 111,MWF,01:30PM,02:20PM
EXAM,FUR 111,W,12:00PM,02:30PM
LEC,FUR 110,MWF,11:30AM,12:20PM
EXAM,FUR 110,R,12:00PM,02:30PM
LEC,FUR 110,W,02:30PM,05:00PM
EXAM,FUR 110,T,03:30PM,06:00PM
LEC,FUR 110,MWF,12:30PM,01:20PM
EXAM,FUR 110,M,12:00PM,02:30PM
LEC,FUR 110,TR,10:00AM,11:15AM
EXAM,FUR 110,T,08:30AM,11:00AM
LEC,FUR 110,TR,01:00PM,02:15PM
EXAM,FUR 110,T,12:00PM,02:30PM
LEC,FUR 108,TR,11:30AM,12:45PM
EXAM,FUR 108,F,12:00PM,02:30PM
SEM,FUR 107,TR,11:30AM,12:45PM
EXAM,FUR 107,F,12:00PM,02:30PM
LEC,FUR 106,MTRF,10:30AM,11:20AM
EXAM,FUR 106,W,08:30AM,11:00AM
,,,,
LEC,FUR 106,MTRF,11:30AM,12:20PM
EXAM,FUR 106,R,12:00PM,02:30PM
,,,,
LEC,FUR 108,MTRF,08:30AM,09:20AM
EXAM,FUR 108,R,08:30AM,11:00AM
LEC,FUR 108,MTRF,10:30AM,11:20AM
EXAM,FUR 108,W,08:30AM,11:00AM
LEC,FUR 209,MWF,09:30AM,10:20AM
EXAM,FUR 209,M,08:30AM,11:00AM
LEC,FUR 209,MWF,10:30AM,11:20AM
EXAM,FUR 209,W,08:30AM,11:00AM
LEC,FUR 107,MWF,12:30PM,01:20PM
EXAM,FUR 107,M,12:00PM,02:30PM
LEC,FUR 208,TR,11:30AM,12:45PM
EXAM,FUR 208,F,12:00PM,02:30PM
LEC,FUR 201,MWF,11:30AM,12:20PM
EXAM,FUR 201,R,12:00PM,02:30PM
LEC,FUR 118,TR,08:30AM,09:45AM
ADD,FUR 214,T,02:30PM,05:00PM
EXAM,FUR 118,F,08:30AM,11:00AM
LEC,HIP 205,MWF,09:30AM,10:20AM
EXAM,HIP 205,M,08:30AM,11:00AM
LEC,FUR 127,MTRF,08:30AM,09:20AM
EXAM,FUR 127,R,08:30AM,11:00AM
LEC,FUR 111,MWF,11:30AM,12:20PM
EXAM,FUR 111,R,12:00PM,02:30PM
LEC,FUR 230,MTRF,11:30AM,12:20PM
EXAM,FUR 230,R,12:00PM,02:30PM
LEC,FUR 230,MTRF,01:30PM,02:20PM
EXAM,FUR 230,W,12:00PM,02:30PM
LEC,HIP 204,MWF,09:30AM,10:20AM
EXAM,HIP 204,M,08:30AM,11:00AM
LEC,HIP 204,MWF,10:30AM,11:20AM
EXAM,HIP 204,W,08:30AM,11:00AM
LEC,FUR 227,MR,02:30PM,04:20PM
ADD,FUR 214,T,02:30PM,05:00PM
EXAM,FUR 227,M,03:30PM,06:00PM
LEC,PAC 113,MTWR,07:30AM,08:20AM
EXAM,PAC 113,F,03:30PM,06:00PM
LEC,PAC 113,MTWR,08:30AM,09:20AM
EXAM,PAC 113,R,08:30AM,11:00AM
LEC,PAC 113,MTWR,08:30AM,09:20AM
EXAM,PAC 113,F,08:30AM,11:00AM
LEC,PAC 116,MTRF,10:30AM,11:20AM
EXAM,PAC 116,W,08:30AM,11:00AM
LEC,PAC 116,MTRF,10:30AM,11:20AM
EXAM,PAC 116,T,08:30AM,11:00AM
LEC,PAC 113,WF,10:30AM,12:20PM
EXAM,PAC 113,W,08:30AM,11:00AM
LEC,PAC 113,MTRF,11:30AM,12:20PM
EXAM,PAC 113,R,12:00PM,02:30PM
LEC,PAC 113,MTRF,11:30AM,12:20PM
EXAM,PAC 113,F,12:00PM,02:30PM
LEC,PAC 114,MW,11:30AM,01:20PM
EXAM,PAC 114,R,12:00PM,02:30PM
LEC,PAC 113,MTRF,01:30PM,02:20PM
EXAM,PAC 113,W,12:00PM,02:30PM
LEC,PAC 113,MTRF,01:30PM,02:20PM
EXAM,PAC 113,T,12:00PM,02:30PM
LEC,PAC 113,MTRF,02:30PM,03:20PM
EXAM,PAC 113,M,03:30PM,06:00PM
LEC,PAC 113,MTRF,02:30PM,03:20PM
EXAM,PAC 113,R,03:30PM,06:00PM
LEC,PAC 113,MW,12:30PM,02:20PM
EXAM,PAC 113,M,12:00PM,02:30PM
LEC,PAC 114,MWF,12:30PM,01:20PM
EXAM,PAC 114,M,12:00PM,02:30PM
LEC,PAC 114,TR,08:30AM,09:45AM
LAB,PAC 114,M,02:30PM,05:20PM
EXAM,PAC 114,F,08:30AM,11:00AM
LEC,PAC 114,TR,10:00AM,11:15AM
LAB,PAC 114,W,02:30PM,05:20PM
EXAM,PAC 114,T,08:30AM,11:00AM
LEC,PAC 114,MWF,09:30AM,10:20AM
LAB,PAC 105,T,02:30PM,05:20PM
EXAM,PAC 114,M,08:30AM,11:00AM
LEC,PAC 114,MWF,10:30AM,11:20AM
LAB,PAC 105,R,02:30PM,05:20PM
